H100 flashinfer-mha tvm-mha  
seqlen,us,us
1k,6,60
2k,9,117
4k,28,226
8k,48,441
16k,90,890

H20 flashinfer-mha
seqlen,us
1k,7
2k,10
4k,27
8k,46
16k,88
